id,name,averagePricePerUnit,regularSaleVelocity,universalisUrl,amount,amountTotalPrice,costItemId,costItemAmount,costItemName
2642,Dream Hat,21318,0.64,https://universalis.app/market/2642,1,21318,5331,1,Dream Hat Materials
2965,Dream Tunic,32445,0.68,https://universalis.app/market/2965,1,32445,5332,1,Dream Tunic Materials
3747,Dream Boots,23738,0.61,https://universalis.app/market/3747,1,23738,5323,1,Dream Boots Materials
4738,Heart Chocolate,299998,0.25,https://universalis.app/market/4738,1,299998,4851,1,Powdered Sugar
4737,White Chocolate,497499,0.46,https://universalis.app/market/4737,1,497499,4851,1,Powdered Sugar
4680,Zoni,10,0.96,https://universalis.app/market/4680,1,10,4864,1,Fish Stock
5888,Peach Confetti,67,28.75,https://universalis.app/market/5888,1,67,5400,1,Peach Branch
4551,Potion,3,82.75,https://universalis.app/market/4551,1,3,29,1,MGP
4552,Hi-Potion,38,52.79,https://universalis.app/market/4552,1,38,29,2,MGP
4553,Mega-Potion,256,54.5,https://universalis.app/market/4553,1,256,29,3,MGP
4555,Ether,17,10.82,https://universalis.app/market/4555,1,17,29,1,MGP
4556,Hi-Ether,167,59.07,https://universalis.app/market/4556,1,167,29,2,MGP
4557,Mega-Ether,307,15.25,https://universalis.app/market/4557,1,307,29,3,MGP
4551,Potion,3,82.75,https://universalis.app/market/4551,1,3,29,1,MGP
4552,Hi-Potion,38,52.79,https://universalis.app/market/4552,1,38,29,2,MGP
4553,Mega-Potion,256,54.5,https://universalis.app/market/4553,1,256,29,3,MGP
4555,Ether,17,10.82,https://universalis.app/market/4555,1,17,29,1,MGP
4556,Hi-Ether,167,59.07,https://universalis.app/market/4556,1,167,29,2,MGP
4557,Mega-Ether,307,15.25,https://universalis.app/market/4557,1,307,29,3,MGP
5893,Lominsan Sparkler,109,15,https://universalis.app/market/5893,10,1090,5946,2,Wet Bombard Ash
5894,Gridanian Sparkler,166,24.18,https://universalis.app/market/5894,10,1660,5946,2,Wet Bombard Ash
5895,Ul'dahn Sparkler,36,10.46,https://universalis.app/market/5895,10,360,5946,2,Wet Bombard Ash
2642,Dream Hat,21318,0.64,https://universalis.app/market/2642,1,21318,7000,6,Eternal Ice
2965,Dream Tunic,32445,0.68,https://universalis.app/market/2965,1,32445,7000,6,Eternal Ice
3747,Dream Boots,23738,0.61,https://universalis.app/market/3747,1,23738,7000,6,Eternal Ice
6996,Prismatic Heart (Left),49,10.57,https://universalis.app/market/6996,10,490,6998,1,Bitter Heart Chocolate
6997,Prismatic Heart (Right),39,4.04,https://universalis.app/market/6997,10,390,6999,1,Pure Heart Chocolate
7118,Riviera Striking Dummy,65615,0.21,https://universalis.app/market/7118,1,65615,27,180,Allied Seal
7119,Oasis Striking Dummy,144499,0.11,https://universalis.app/market/7119,1,144499,27,180,Allied Seal
4554,X-Potion,262,29.11,https://universalis.app/market/4554,1,262,4551,1,Potion
6151,Cooking Sherry,48,11.79,https://universalis.app/market/6151,20,960,21073,1,Ixali Oaknot
6153,Filtered Water,182,76.04,https://universalis.app/market/6153,20,3640,21073,1,Ixali Oaknot
6154,Voidsent Blood,121,19.68,https://universalis.app/market/6154,20,2420,21073,1,Ixali Oaknot
5530,Coke,227,2423.39,https://universalis.app/market/5530,2,454,21073,1,Ixali Oaknot
5531,Animal Fat,362,123.68,https://universalis.app/market/5531,2,724,21073,1,Ixali Oaknot
5532,Hardened Sap,324,800.54,https://universalis.app/market/5532,2,648,21073,1,Ixali Oaknot
5501,Potash,272,255.21,https://universalis.app/market/5501,2,544,21073,1,Ixali Oaknot
5502,Lime Sulphur,380,19.82,https://universalis.app/market/5502,2,760,21073,1,Ixali Oaknot
5261,Aqueous Whetstone,450,242.5,https://universalis.app/market/5261,2,900,21073,1,Ixali Oaknot
5119,Peacock Ore,272,522,https://universalis.app/market/5119,2,544,21073,1,Ixali Oaknot
5274,Minium,330,107.39,https://universalis.app/market/5274,2,660,21073,1,Ixali Oaknot
7596,Petrified Log,2114,61.75,https://universalis.app/market/7596,1,2114,21073,7,Ixali Oaknot
7597,Scheelite,1661,106,https://universalis.app/market/7597,1,1661,21073,7,Ixali Oaknot
7598,Raziqsand,999,8.57,https://universalis.app/market/7598,1,999,21073,7,Ixali Oaknot
7599,Saurian Skin,87,4.5,https://universalis.app/market/7599,1,87,21073,7,Ixali Oaknot
7600,Cashmere Fleece,641,11.93,https://universalis.app/market/7600,1,641,21073,7,Ixali Oaknot
7601,Emery,2725,8.64,https://universalis.app/market/7601,1,2725,21073,7,Ixali Oaknot
7806,Tawny Latex,574,8.18,https://universalis.app/market/7806,1,574,21073,2,Ixali Oaknot
7603,Dalamud Popoto,57,15.5,https://universalis.app/market/7603,10,570,21073,1,Ixali Oaknot
7604,Royal Kukuru Bean,4,15.75,https://universalis.app/market/7604,10,40,21073,1,Ixali Oaknot
9356,Quick-hardening Sealant,2534,7.43,https://universalis.app/market/9356,1,2534,21073,3,Ixali Oaknot
9357,Xelphatol Spring Water,1631,10.21,https://universalis.app/market/9357,1,1631,21073,4,Ixali Oaknot
